,track,album,release_date,id
0,Still Feel Like Your Man,The Search for Everything,2017-04-14,1LM6t24SjQr2bJHqeGIR4U
1,Emoji of a Wave,The Search for Everything,2017-04-14,5ddXMXmXZ2FN4iliTG20nO
2,Helpless,The Search for Everything,2017-04-14,701DK0It9f7iurRnzKvF0y
3,Love on the Weekend,The Search for Everything,2017-04-14,0oiCeOPwm4zhwfyIpAE37y
4,In the Blood,The Search for Everything,2017-04-14,77Y57qRJBvkGCUw9qs0qMg
5,Changing,The Search for Everything,2017-04-14,6eIygPhGcBFKKcxlGTJlY0
6,"Theme from ""The Search for Everything""",The Search for Everything,2017-04-14,1G4s7WkhgmdQvYaGCHjw1G
7,Moving On and Getting Over,The Search for Everything,2017-04-14,1crSsvtU9wZB15dIQXV2QH
8,Never on the Day You Leave,The Search for Everything,2017-04-14,3TQbr3G3U5wlwEJejmqC1F
9,Rosie,The Search for Everything,2017-04-14,5KsLlcmWDoHUoJFzRw14wD
10,Roll it on Home,The Search for Everything,2017-04-14,0Zrug5Ry3x6x60lohpEU0C
11,You're Gonna Live Forever in Me,The Search for Everything,2017-04-14,51lPx6ZCSalL2kvSrDUyJc
12,Wildfire,Paradise Valley,2013-08-20,0QTCTu0CXv4X1JEE4gNpGv
13,Dear Marie,Paradise Valley,2013-08-20,5Aq5TIy9jVK70aL7xcE9oa
14,Waitin' On The Day,Paradise Valley,2013-08-20,58ImA5yX8b5UkLy9MDXwWO
15,Paper Doll,Paradise Valley,2013-08-20,5FDh0G5oQ2UD9JxWiDCT1x
16,Call Me The Breeze,Paradise Valley,2013-08-20,2c4FRqXnna2YeC4lShVONV
17,Who You Love (feat. Katy Perry),Paradise Valley,2013-08-20,7IByJvSqRFltGyiiIiL4wn
18,I Will Be Found (Lost At Sea),Paradise Valley,2013-08-20,05Ez6KwjICkscWQVTsT3f5
19,Wildfire (feat. Frank Ocean),Paradise Valley,2013-08-20,4wOYt5nULk1Cu8pwJWk26m
20,You're No One 'Til Someone Lets You Down,Paradise Valley,2013-08-20,6zQ1OjnGS4GiEOHje3tDX3
21,Badge And Gun,Paradise Valley,2013-08-20,4dnwtykvirYJPQOL0OgL6B
22,On The Way Home,Paradise Valley,2013-08-20,4Fz1WWr5o0OrlIcZxcyZtK
23,Queen of California,Born and Raised,2012-05-18,0CETmgFGt8Ne8vLnaLcduU
24,The Age of Worry,Born and Raised,2012-05-18,1RywwImkBFUEVcRTBmw7vL
25,Shadow Days,Born and Raised,2012-05-18,3RgR3cFZ6xh7MlB9DURK6e
26,Speak For Me,Born and Raised,2012-05-18,7cZ3yjXUsoDsSAUtnf0F8V
27,Something Like Olivia,Born and Raised,2012-05-18,1aiDlPLPljMFUylWjMZras
28,Born and Raised,Born and Raised,2012-05-18,5RYTpsSI7op7UZznXWqhIP
29,If I Ever Get Around To Living,Born and Raised,2012-05-18,6Oi3mUl8WwfTVRqEwByZ7R
30,Love Is A Verb,Born and Raised,2012-05-18,03XjpGGdsIPouALXem2Cku
31,"Walt Grace's Submarine Test, January 1967",Born and Raised,2012-05-18,5S3NpJBqacEUrxceiAy5lI
32,"Whiskey, Whiskey, Whiskey",Born and Raised,2012-05-18,50YQFbfIVk2XMnVFKAuuib
33,A Face To Call Home,Born and Raised,2012-05-18,601913bnwOH19HblKXMr2d
34,Born and Raised - Reprise,Born and Raised,2012-05-18,5pmEPJ1DnCLqQkUT4B2wAp
35,Heartbreak Warfare,Battle Studies,2009-11-13,4gs07VlJST4bdxGbBsXVue
36,All We Ever Do Is Say Goodbye,Battle Studies,2009-11-13,5DydMbw2U5Oh1OckJIsniN
37,Half of My Heart,Battle Studies,2009-11-13,7hR5toSPEgwFZ78jfHdANM
38,Who Says,Battle Studies,2009-11-13,0HLWvLKQWpFdPhgk6ym58n
39,Perfectly Lonely,Battle Studies,2009-11-13,42dbDZX9bsEGqMZWYmnR7J
40,Assassin,Battle Studies,2009-11-13,6OXt9aSIr4DSxSR3Qjrtgp
41,Crossroads,Battle Studies,2009-11-13,4WBmkMJyWubRXRLYk8t9SI
42,War of My Life,Battle Studies,2009-11-13,1Jc3tGa11ITNgph0yewlqn
43,Edge of Desire,Battle Studies,2009-11-13,5gbxzSqABThINGDb7vIiwe
44,Do You Know Me,Battle Studies,2009-11-13,7BgGj9choLPeJJOflkaAhB
45,"Friends, Lovers or Nothing",Battle Studies,2009-11-13,1wkaoS4jTVXYMUWHKVFZTk
46,"Neon - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,7AtsEX4pJqmAaIajlMwaPU
47,"Stop This Train - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,0HHdujGjOZChTrl8lJWEIq
48,"In Your Atmosphere - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,0EUSbTvyZfo9QOcxunL9Ro
49,"Daughters - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,5bSPF76iSpI5p00BALV8uo
50,"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,4LloVtxNZpeh7q7xdi1DQc
51,"Everyday I Have The Blues - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,6yxobkt0REH26qbM4n9eDC
52,"Wait Until Tomorrow - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,5SSqUpMby3y8W0qy3JME5E
53,"Who Did You Think I Was - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,5e7ati4Dx5ax2YapfnV5FS
54,"Come When I Call - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,1G7Gg1cH4VKBu3XaoCppzC
55,"Good Love Is On the Way - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,6V3Sd5FVnf83LLA6VMP15F
56,"Out of My Mind - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,5WMKS1iDfugyLhfibIlR51
57,"Vultures - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,2pNllR1aL6MFh1npf0376T
58,"Bold as Love - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,72UCrt0G2z6QQkvzEw9dGQ
59,"Waiting On the World to Change - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,75LltETkbWa2OKmJ1AEoM3
60,"Slow Dancing in a Burning Room - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,4OT8GH9u9Gx7ydJ49ULunN
61,"Why Georgia - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,2Rvhjn78vg0rnuBHCdtz9P
62,"The Heart of Life - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,15Ev5G9uLhXqjBH4t16GQq
63,"I Don't Need No Doctor - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,4MeXE7YF459t1PbFTtAklF
64,"Gravity - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,68KdvPllp9Pug8ZG6AByFY
65,"I Don't Trust Myself (With Loving You) - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,79H87DHga7uOxkvFRGa4a8
66,"Belief - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,2vFYhHS8ycUITvZYownH5K
67,"I'm Gonna Find Another You - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,3oGRjCpV07tCM5mrYv6iQA
68,Waiting On the World to Change,Continuum,2006-09-11,5imShWWzwqfAJ9gXFpGAQh
69,I Don't Trust Myself (With Loving You),Continuum,2006-09-11,7peh6LUcdNPcMdrSH4JPsM
70,Belief,Continuum,2006-09-11,35LDid9nvuYrUyZk5qGD0i
71,Gravity,Continuum,2006-09-11,3SktMqZmo3M9zbB7oKMIF7
72,The Heart of Life,Continuum,2006-09-11,78DwRIo6Vj6wqteyerGetr
73,Vultures,Continuum,2006-09-11,1IdTIzkTK6CcpKKgMUGbg7
74,Stop This Train,Continuum,2006-09-11,3E6iea9uEmB7gRru4lyP6h
75,Slow Dancing in a Burning Room,Continuum,2006-09-11,2jdAk8ATWIL3dwT47XpRfu
76,Bold as Love,Continuum,2006-09-11,50DMG6AvtNzbrxMc62w6ph
77,Dreaming with a Broken Heart,Continuum,2006-09-11,7keXdrB4mz57u4b8YkCwag
78,In Repair,Continuum,2006-09-11,7MRn6wgG0ReDRNYV5wJeGX
79,I'm Gonna Find Another You,Continuum,2006-09-11,0bYDebBlQxsDR4hCgbbpOW
80,Only Heart - Live in Ohio,As/Is,2004-10-19,46FiM7f4pSkAwVDZ8ikki4
81,"My Stupid Mouth - Live in Philadelphia, PA & Hartford, CT",As/Is,2004-10-19,1KQ6mxVLMaJDtf36A1XRMd
82,No Such Thing - Live at C.W. Mitchell Pavillion,As/Is,2004-10-19,4NVQK1qNqgLYmFk90pE4vm
83,"Covered in Rain - Live in Philadelphia, PA & Hartford, CT",As/Is,2004-10-19,1pCPho2f47NuhzD7HnRc6t
84,Split Screen Sadness - Live at the Shoreline Amphitheater,As/Is,2004-10-19,3sCDePLRq8SLMqgJ1ZlKYN
85,Blues Intro - Live at C.W. Mitchell Pavillion,As/Is,2004-10-19,733QXu4QpEgzcX4VaYdBPf
86,Come Back to Bed - Live at C.W. Mitchell Pavillion,As/Is,2004-10-19,1DRvBeR62awPNhXZ71GsT3
87,Your Body Is a Wonderland - Live at C.W. Mitchell Pavillion,As/Is,2004-10-19,6K0kZE3kdIJh1NeLdx2f0R
88,Something's Missing - Live in Ohio,As/Is,2004-10-19,17XzFKjIqLmJHiq5k61x1v
89,Inner City Blues (Make Me Wanna Holler) (feat. DJ Logic) - Live from Kansas City,As/Is,2004-10-19,40akG3NM0dfLmL5rWEQepG
90,Clarity - Live in Ohio,As/Is,2004-10-19,6cc4XOqrB8qibHbAymBPSH
91,3x5 - Live in Ohio,As/Is,2004-10-19,3i5tXM8BXtTiBDxAAy3MGc
92,Home Life - Acoustic (Live at the Shoreline Amphitheater),As/Is,2004-10-19,3TZcKjWVkKqftRzGGZM4mi
93,Comfortable - Live at C.W. Mitchell Pavillion,As/Is,2004-10-19,6yzty3y4JAzaDB9GR26Wu7
94,Neon - Live at C.W. Mitchell Pavillion,As/Is,2004-10-19,2atxvRnv9niP7JETxBcF4h
95,Only Heart - Live in Ohio,"As/Is: Cleveland/Cincinnati, OH - 8/03-8/04/04",2004-09-28,1LTz7VhU0E4SXMw2ju0F6r
96,New Deep - Live in Ohio,"As/Is: Cleveland/Cincinnati, OH - 8/03-8/04/04",2004-09-28,2nZX0BKd3hzOhh4TYL0BOI
97,No Such Thing - Live in Ohio,"As/Is: Cleveland/Cincinnati, OH - 8/03-8/04/04",2004-09-28,6WkH8Otrh3Rb8Eh7iqhiKx
98,Something's Missing - Live in Ohio,"As/Is: Cleveland/Cincinnati, OH - 8/03-8/04/04",2004-09-28,1DllSr1QGkvGHhyHEnKsBt
99,My Stupid Mouth - Live in Ohio,"As/Is: Cleveland/Cincinnati, OH - 8/03-8/04/04",2004-09-28,4JWxwiTAQWmydYqQMVZNmq
100,Daughters - Live in Ohio,"As/Is: Cleveland/Cincinnati, OH - 8/03-8/04/04",2004-09-28,1wo3sPQ60rUkV0GMJioik9
101,Clarity - Live in Ohio,"As/Is: Cleveland/Cincinnati, OH - 8/03-8/04/04",2004-09-28,2qGE8x9qNrxPNJZEdHibx0
102,Quiet - Live in Ohio,"As/Is: Cleveland/Cincinnati, OH - 8/03-8/04/04",2004-09-28,4Zh8wefA6zKT1zhRvhqUUf
103,3x5 - Live in Ohio,"As/Is: Cleveland/Cincinnati, OH - 8/03-8/04/04",2004-09-28,7L84XRpu8WsUOFCx95uTAh
104,Wheel - Live in Ohio,"As/Is: Cleveland/Cincinnati, OH - 8/03-8/04/04",2004-09-28,09HcF30iAIUsqRZj4Nq5fO
105,Clarity - Live at C.W. Mitchell Pavillion,"As/Is: Houston, TX - 7/24/04",2004-09-21,6RuPV6yw3jfbtIMV2sHf4z
106,No Such Thing - Live at C.W. Mitchell Pavillion,"As/Is: Houston, TX - 7/24/04",2004-09-21,3ljQCJaC03kxZv6mEDd020
107,Back to You - Live at C.W. Mitchell Pavillion,"As/Is: Houston, TX - 7/24/04",2004-09-21,0kFRIuuaQnQDCgAu6cKfDG
108,Daughters - Live at C.W. Mitchell Pavillion,"As/Is: Houston, TX - 7/24/04",2004-09-21,3cBm83fn6vfL6QRkKkDxhD
109,Blues Intro - Live at C.W. Mitchell Pavillion,"As/Is: Houston, TX - 7/24/04",2004-09-21,6nXqYS4ibVjE9VJnUjqhz7
110,Come Back to Bed - Live at C.W. Mitchell Pavillion,"As/Is: Houston, TX - 7/24/04",2004-09-21,3NrqGdZTVg6KbXYB08mAkg
111,Your Body Is a Wonderland - Live at C.W. Mitchell Pavillion,"As/Is: Houston, TX - 7/24/04",2004-09-21,7dbo1pM8w0iklh0bqSLcDR
112,Bigger Than My Body - Live at C.W. Mitchell Pavillion,"As/Is: Houston, TX - 7/24/04",2004-09-21,5czvYUDeDQUHZOgvkJJWVG
113,Comfortable - Live at C.W. Mitchell Pavillion,"As/Is: Houston, TX - 7/24/04",2004-09-21,4TJwX1l8lQc9yyfnxYrjuA
114,Neon - Live at C.W. Mitchell Pavillion,"As/Is: Houston, TX - 7/24/04",2004-09-21,6SPQ1YTb86xoFfzQvRS3CB
115,"Your Body Is a Wonderland - Live in Philadelphia, PA & Hartford, CT","As/Is: Philadelphia, PA/Hartford, CT - 8/14-8/15/04",2004-08-31,32vVjPXwoTBctUcEIQmU1t
116,"Only Heart - Live in Philadelphia, PA & Hartford, CT","As/Is: Philadelphia, PA/Hartford, CT - 8/14-8/15/04",2004-08-31,1Vis3NvnS2KmTz4QAB2wIz
117,"Something's Missing - Live in Philadelphia, PA & Hartford, CT","As/Is: Philadelphia, PA/Hartford, CT - 8/14-8/15/04",2004-08-31,5DIqePZRkBQ6uoMcPAannh
118,"New Deep - Live in Philadelphia, PA & Hartford, CT","As/Is: Philadelphia, PA/Hartford, CT - 8/14-8/15/04",2004-08-31,5gK3r2HLaNDIYzpUCoaVgx
119,"Daughters - Live in Philadelphia, PA & Hartford, CT","As/Is: Philadelphia, PA/Hartford, CT - 8/14-8/15/04",2004-08-31,2HqmzMSoYKIIxIo3IPDgtp
