,track,album,release_date,id
120,"My Stupid Mouth - Live in Philadelphia, PA & Hartford, CT","As/Is: Philadelphia, PA/Hartford, CT - 8/14-8/15/04",2004-08-31,6yAshuL3hHBl7zyoTn0j3W
121,"Covered in Rain - Live in Philadelphia, PA & Hartford, CT","As/Is: Philadelphia, PA/Hartford, CT - 8/14-8/15/04",2004-08-31,1fTZfLRD6E5snDW5YC7qk5
122,"Come Back to Bed - Live in Philadelphia, PA & Hartford, CT","As/Is: Philadelphia, PA/Hartford, CT - 8/14-8/15/04",2004-08-31,6T6O0Od0HcpJOD208yD0wr
123,"83 - Live in Philadelphia, PA & Hartford, CT","As/Is: Philadelphia, PA/Hartford, CT - 8/14-8/15/04",2004-08-31,5O1BIKBvlKw6JMLjGfvcQT
124,"Hummingbird - Live in Philadelphia, PA & Hartford, CT","As/Is: Philadelphia, PA/Hartford, CT - 8/14-8/15/04",2004-08-31,0YkaQ6bErWUqCSwiMS1BBF
125,Clarity - Live at C.W. Mitchell Pavillion,"As/Is: Houston, TX - 7/24/04",2004-08-17,7ntKde0RDt5FzvxjIMNptD
126,No Such Thing - Live at C.W. Mitchell Pavillion,"As/Is: Houston, TX - 7/24/04",2004-08-17,3rq2KEOjAiF79aNU5FYfUb
127,Back to You - Live at C.W. Mitchell Pavillion,"As/Is: Houston, TX - 7/24/04",2004-08-17,1C9TnfIII3cgOidiaIPWjc
128,Daughters - Live at C.W. Mitchell Pavillion,"As/Is: Houston, TX - 7/24/04",2004-08-17,46gxdLetkPEpmdetWwEgKX
129,Blues Intro - Live at C.W. Mitchell Pavillion,"As/Is: Houston, TX - 7/24/04",2004-08-17,4rG4naPzEGxPeVT1chpoHR
130,Come Back to Bed - Live at C.W. Mitchell Pavillion,"As/Is: Houston, TX - 7/24/04",2004-08-17,532deAZtYfScnNJD2Qx6e8
131,Your Body Is a Wonderland - Live at C.W. Mitchell Pavillion,"As/Is: Houston, TX - 7/24/04",2004-08-17,1S609dK1nzQrPqpNMU1Ytp
132,Bigger Than My Body - Live at C.W. Mitchell Pavillion,"As/Is: Houston, TX - 7/24/04",2004-08-17,3UIqpyBiZ3uWNJLz4qlx1o
133,Comfortable - Live at C.W. Mitchell Pavillion,"As/Is: Houston, TX - 7/24/04",2004-08-17,6ymCz9KI6dJjaRUlC7daPZ
134,Neon - Live at C.W. Mitchell Pavillion,"As/Is: Houston, TX - 7/24/04",2004-08-17,1tRkKnzuQRoKIKcWGJx9MB
135,No Such Thing - Live at the Shoreline Amphitheater,"As/Is: Mountain View, CA - 7/16/04",2004-08-10,4zvPBP0HVsoizqNcAAqS5a
136,Come Back to Bed - Live at the Shoreline Amphitheater,"As/Is: Mountain View, CA - 7/16/04",2004-08-10,1qTXQwHB9eqAvAS7s194nk
137,Something's Missing - Live at the Shoreline Amphitheater,"As/Is: Mountain View, CA - 7/16/04",2004-08-10,0gaGfsSi1je2SHjkr1PWkQ
138,Split Screen Sadness - Live at the Shoreline Amphitheater,"As/Is: Mountain View, CA - 7/16/04",2004-08-10,0mDtXKkRdK0WA4cSrN2And
139,New Deep - Live at the Shoreline Amphitheater,"As/Is: Mountain View, CA - 7/16/04",2004-08-10,3itFNxYqj0ZWf8CD4NhNAh
140,Why Georgia - Live at the Shoreline Amphitheater,"As/Is: Mountain View, CA - 7/16/04",2004-08-10,2lSA0yHBl9SWojDOi63xeq
141,Bigger Than My Body - Live at the Shoreline Amphitheater,"As/Is: Mountain View, CA - 7/16/04",2004-08-10,6nziCDGUS6UJbm1ZCxRDuJ
142,Home Life - Acoustic (Live at the Shoreline Amphitheater),"As/Is: Mountain View, CA - 7/16/04",2004-08-10,4kcA6ZMuuqOUwGN0PXdTcK
143,Tracing - Acoustic (Live at the Shoreline Amphitheater),"As/Is: Mountain View, CA - 7/16/04",2004-08-10,18V8P4GpfI8oo7ZklTybgk
144,Comfortable - Acoustic (Live at the Shoreline Amphitheater),"As/Is: Mountain View, CA - 7/16/04",2004-08-10,6FlByTWooCUp5sC75ejZhF
145,Clarity,Heavier Things,2003-09-09,6atVS7UZBxoyJkkteM62u5
146,Bigger Than My Body,Heavier Things,2003-09-09,0Jh9EBGN205Yc7JN2zZ2f1
147,Something's Missing,Heavier Things,2003-09-09,4ibzxSKw3a6rtIorruN5GO
148,New Deep,Heavier Things,2003-09-09,7B2SMMslfm3Ocf7ZnTa5dS
149,Come Back to Bed,Heavier Things,2003-09-09,1wU7z5XE8oa66ZvUlYAKfK
150,Home Life,Heavier Things,2003-09-09,4UoJ14X24nu9YGwE1r0JOy
151,Split Screen Sadness,Heavier Things,2003-09-09,2eMVogxm08LgfgnWpahooV
152,Daughters,Heavier Things,2003-09-09,5FPnjikbwlDMULCCCa6ZCJ
153,Only Heart,Heavier Things,2003-09-09,3Ngl8Fn5UtCl2K7UD7EF9e
154,Wheel,Heavier Things,2003-09-09,2Jr39bnXx3WOUmdlI4S00f
155,"3x5 - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,2003-02-18,0FImRT14mgaNZblbRpZQBg
156,"No Such Thing - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,2003-02-18,1WyvrmVqYkmQCBuibpLEqt
157,"Back to You - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,2003-02-18,6zGmcB8lwH6tMndgPTXB63
158,"City Love - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,2003-02-18,264l2iadKOKZhOv3ag5ESC
159,"Something's Missing - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,2003-02-18,6EKX4Hi0h34HZa2rGBedMW
160,"Lenny / Man On the Side - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,2003-02-18,2ScVg7hVFkHfoYvVK3wAHC
161,"Message In a Bottle - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,2003-02-18,1UsarbwGD3O7mXy7G8Qj9x
162,"Love Song for No One - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,2003-02-18,7DcLOJQLUhF32lF7vqpNS1
163,"Why Georgia - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,2003-02-18,14EqOD4Vc4H7uuatcbQ9Ri
164,"Your Body Is a Wonderland - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,2003-02-18,44r9WOHv83sK3mTk271FDL
165,"My Stupid Mouth - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,2003-02-18,5jliVqRLKzTLphQUvdehL7
166,"Covered in Rain - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,2003-02-18,3GsHbBXnIbUUmvevSl5rrD
167,"83 Medley - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,2003-02-18,4CGdAp0MVBpFa1MdUnRnEP
168,"Comfortable - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,2003-02-18,3YMLrDgy4mcMb5UFWyGn1U
169,"Neon - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,2003-02-18,2hjYTc5pvfqBRZGmiSwNpR
170,"3x5 - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,2003-01-30,0UVXkzxIKO5e4VXXM4ErjJ
171,"No Such Thing - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,2003-01-30,2djWxCzgjnFvUbYZf4ep46
172,"Back to You - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,2003-01-30,30pIk7qIOrhJsKnGuFSqzY
173,"City Love - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,2003-01-30,2gCr4ESYU3CrXbJ4vVRLjO
174,"Something's Missing - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,2003-01-30,0QWK9SwHslfeSrDSJXMI4M
175,"Lenny / Man On the Side - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,2003-01-30,2auWdKsT2wvdGIXjxBYvpS
176,"Message In a Bottle - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,2003-01-30,3ndvuL1lqZNTdb7yBxKQFR
177,"Love Song for No One - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,2003-01-30,3dC9btFVNotM5glH5pp3FG
178,"Why Georgia - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,2003-01-30,3URla9tUUZvizosMCHB0OV
179,"Your Body Is a Wonderland - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,2003-01-30,0mPdhLVNOYqP9zwvb7uUIi
180,"My Stupid Mouth - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,2003-01-30,1GLeSb7JwiSuIsXdrirkmU
181,"Covered in Rain - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,2003-01-30,74O2ijHJxPd6FJMgL6A4aq
182,"83 Medley - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,2003-01-30,79Q12zPPmbgWwfH9KFCSvL
183,"Comfortable - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,2003-01-30,4zmaLdhEGKtsbHmnF0BmZX
184,"Neon - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,2003-01-30,2Jqrf5JyW53Xnmk1QIvxYv
185,No Such Thing,Room For Squares,2001-08-16,6Vecwo7AHst9V2CE3kmwr0
186,Why Georgia,Room For Squares,2001-08-16,1c7UYTut2SBOPq64o2t0uN
187,My Stupid Mouth,Room For Squares,2001-08-16,3jFP1e8IUpD9QbltEI1Hcg
188,Your Body Is a Wonderland,Room For Squares,2001-08-16,7vFv0yFGMJW3qVXbAd9BK9
189,Neon,Room For Squares,2001-08-16,7Kohy4v3KLWfUXlv9N3feB
190,City Love,Room For Squares,2001-08-16,5O3fUsQQBFxW8SH1kHthDH
191,83,Room For Squares,2001-08-16,0seE1aF8gzSPH79Dcvcbw2
192,3x5,Room For Squares,2001-08-16,2Knlcf82LF6hp6Bf0gldtN
193,Love Song for No One,Room For Squares,2001-08-16,2L4no3iw54gGX1ZwCNfYSL
194,Back to You,Room For Squares,2001-08-16,3brCbW1KbGBUvMsqUhHQEy
195,Great Indoors,Room For Squares,2001-08-16,2MCBSxOnkMcVkbaLplGYjX
196,Not Myself,Room For Squares,2001-08-16,24QhGejjYWG2CfbHRGLmEr
197,St. Patrick's Day,Room For Squares,2001-08-16,3W93koK957HaoaNHyA3dTm
198,Back To You - EP Version,Inside Wants Out,1999-09-24,2LfhnQyrBpRU0HgKIrC9VE
199,No Such Thing - Demo Version,Inside Wants Out,1999-09-24,2hv6VI0I0BZDY15qsPOrjW
200,My Stupid Mouth - Demo Version,Inside Wants Out,1999-09-24,2Aw2LtgxU2vLoZRL6yktvc
201,Neon - EP Version,Inside Wants Out,1999-09-24,25ueyWzih8QBtf7EzHc3aW
202,Victoria - EP Version,Inside Wants Out,1999-09-24,3EaMrRGeNLb0llMv2wylUr
203,Love Soon - EP Version,Inside Wants Out,1999-09-24,34DLX2len1rusux53yqlRu
204,Comfortable - EP Version,Inside Wants Out,1999-09-24,26PnyFUmYdeRG7nQrsTpHc
205,Quiet - EP Version,Inside Wants Out,1999-09-24,2Sdkwd9ptjUCcYR9uPECmx
206,Inside Friend (feat. John Mayer),Inside Friend (feat. John Mayer),2020-04-10,4ehkZtzPTbjsRULRfQSWYu
207,Carry Me Away,Carry Me Away,2019-09-06,6TL3MOcVW8i1UiJkvhpDbR
208,I Guess I Just Feel Like,I Guess I Just Feel Like,2019-02-22,1HNywa8Bk0TmzRwQrzhtPo
209,New Light - Zookëper Remix,New Light - Zookëper Remix,2018-08-10,6fjuvcy4XmIno1aZ0yDlFH
210,New Light,New Light,2018-06-29,40FLJc17FMZaPmCQEEZgB0
211,New Light,New Light,2018-05-10,3bH4HzoZZFq8UpZmI2AMgV
212,Still Feel Like Your Man,Still Feel Like Your Man,2017-02-24,3pdWCmUno1bWzYIdYwoiMM
213,Emoji of a Wave,Emoji of a Wave,2017-02-24,7pYdMupCkVcwZ6kOKmWFfj
214,Helpless,Helpless,2017-02-24,3ooKsUCAz3EgEjZAPRwtCm
215,Roll it on Home,Roll it on Home,2017-02-24,5V4uopcRycrRYdibnLZ3uH
216,Moving On and Getting Over,Moving On and Getting Over,2017-01-20,1CdEcheLJU6SgxnbFEj2WX
217,Changing,Changing,2017-01-20,0GWS6wkQrqZd0BAhq28haq
218,Love on the Weekend,Love on the Weekend,2017-01-20,2ZrIGSO7RUz0Di1QrrqiI9
219,You're Gonna Live Forever in Me,You're Gonna Live Forever in Me,2017-01-20,2uuupTirBvf7iQ8mWN7v1O
220,Love on the Weekend,Love on the Weekend,2016-11-17,0j2WBxWZnWti5TpSxjJvPb
221,XO,XO,2014-05-27,7cpCU3Denug5NGZsSpQl8v
222,Shadow Days,Shadow Days,2012-03-06,3Pphyi26BJChzSiNSGAqcb
223,Waiting On the World to Change (feat. Ben Harper),Waiting On the World to Change (feat. Ben Harper),2006-12-12,1BiJWoCw1xoYcZ76EO3IKV
224,Belief - Acoustic,Belief - Acoustic,2006-12-12,0arItEjl5jRh5FE7zyrv4A
225,Slow Dancing in a Burning Room - Acoustic,Slow Dancing in a Burning Room - Acoustic,2006-12-12,3PSMcb1gU5A8DveqU2K4z2
226,Good Love Is On the Way - Acoustic,Good Love Is On the Way - Acoustic,2006-12-12,6hiZw0OAAX2zmxdmVE7lRJ
227,I'm Gonna Find Another You - Acoustic,I'm Gonna Find Another You - Acoustic,2006-12-12,4x8KNLPK3PI7sRWBYoOpFQ
228,In Repair - Acoustic,In Repair - Acoustic,2006-12-12,3RMq7XrI3UtLXZBESe69fk
229,Say,Say,2006-10-13,6wZI4mdT8JwXgkGURnBQiq
230,Daughters,Daughters,2004-12-07,6J3PYJ5mpscGmSFF6ANYDQ
231,Daughters - Electric Guitar Mix,Daughters - Electric Guitar Mix,2004-12-07,4rW2rUs32yZreYjvKgS1KK
232,Daughters - Home Demo,Daughters - Home Demo,2004-12-07,0q39nyBjL54ghLeDNNEWz0
233,No Such Thing,No Such Thing,2002-06-07,12cFpxiXmkhbplYdTcf8pj
234,My Stupid Mouth,My Stupid Mouth,2002-06-07,7t4xWoS6Bc9IvG1K4Yv9K3
235,Lenny - Live at The X-Lounge,Lenny - Live at The X-Lounge,2002-06-07,0TL8isOZwY9GYDPiP9TdFc
236,The Wind Cries Mary - Live at The X-Lounge,The Wind Cries Mary - Live at The X-Lounge,2002-06-07,30ysy9K5yHp7LvePMNFWtO
237,Bigger Than My Body,Bigger Than My Body,2001,2E8pwAWcB1hkYq0JWdKmIz
238,No Such Thing,No Such Thing,2001,7kmUDZ9993e20USoemVkLC
