artist,album,track_name,track_id,popularity,genres,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,reverb
Barrie,Happy To Be Here,Geology,4qCfbDTCrFnfG5fYngu2wE,50,"['brooklyn indie', 'indie pop', 'indie rock', 'vapor soul']",0.69,0.721,4,-8.437000000000001,1,0.0323,0.649,0.125,0.35700000000000004,104.027,268120,4,1
"Astronauts, etc.",Mind Out Wandering,Up for Grabs,2gyXXC4IMj8K4HfUNUvqKO,27,"['bay area indie', 'shiver pop']",0.539,0.525,5,-10.91,1,0.0285,0.23399999999999999,0.105,0.535,175.972,176627,4,1
CASTLEBEAT,CASTLEBEAT,Change Your Mind,4omurqpm7aWH9VVz2Ii4yO,54,"['bedroom pop', 'indie garage rock', 'indie pop', 'indie surf']",0.384,0.578,11,-9.624,1,0.0312,0.8859999999999999,0.125,0.0984,150.013,297273,4,1
You'll Never Get to Heaven,Images,Beyond the Clouds,6vMaCzTnismT6N45MDCMfa,41,"['ambient pop', 'london on indie', 'nu gaze']",0.633,0.575,7,-9.667,0,0.0298,0.924,0.105,0.239,117.52,248681,4,1
Day Wave,Drag,Drag,0oXwUeFAE6IR2lYhaTpxRT,59,"['bay area indie', 'chillwave', 'indie pop', 'indie poptimism', 'indie rock', 'oakland indie', 'shimmer pop']",0.537,0.713,7,-6.25,1,0.0272,0.65,0.1,0.36700000000000005,93.198,189651,4,1
Voka Gentle,Branscombe,Branscombe,4mrOXzvbS0U0KsX7O6OqIo,44,[],0.556,0.389,7,-15.394,1,0.028999999999999998,0.887,0.111,0.0865,111.012,439478,4,1
Acid Ghost,All Alone,All Alone,72xnRXxHiAhTfKSzlPdEmo,57,['indie garage rock'],0.509,0.588,0,-9.542,1,0.0298,0.845,0.115,0.48700000000000004,171.845,168648,4,1
The F16s,Amber,Amber,62bHWlIlUW6fbwBO29h64H,43,"['chennai indie', 'indian indie', 'indian rock']",0.299,0.46799999999999997,2,-10.777000000000001,1,0.0259,0.77,0.22399999999999998,0.593,95.069,206704,4,1
The Shutes,Echo of Love,Bright Blue Berlin Sky,6P30NMoLLzWTuue4faRjsd,45,['isle of wight indie'],0.534,0.626,6,-8.549,0,0.0288,0.0345,0.109,0.377,120.92,344633,4,1
Electric Youth,Memory Emotion,Breathless,6bgUlpf4HVpuTdo5LuBTov,36,"['filter house', 'popwave', 'synthwave']",0.618,0.623,2,-7.899,1,0.0267,0.841,0.102,0.33299999999999996,97.984,271683,4,1
Foxes In Fiction,Ontario Gothic,Ontario Gothic,7dCz4BVR2DvfLBo0tabZHC,42,"['chillwave', 'experimental pop', 'indie dream pop']",0.303,0.542,11,-10.556,1,0.0323,0.815,0.126,0.23199999999999998,205.953,325242,4,1
Perlo,Call Me a Fool,Call Me a Fool,0TRu2iVCvDFDpnyWt5ktDZ,38,['ambient folk'],0.637,0.542,8,-8.488999999999999,1,0.03,0.653,0.0986,0.36700000000000005,119.96600000000001,204557,4,1
Psychic Babble,My Brother's Ears/My Sister's Eyes,Five Fold Kiss (Don't Sleep),409pABExhKsAxAMdFgWZYD,23,[],0.632,0.622,5,-6.843,1,0.0291,0.0151,0.57,0.41,110.04299999999999,264947,4,1
Tyler Burkhart,Sweet spell,In the bathtub of the world,5oE2tnxS2GUe1oxDbVjvls,35,['lancaster pa indie'],0.56,0.44299999999999995,0,-8.395,0,0.0277,0.8440000000000001,0.0964,0.15,119.869,442848,3,1
ADOY,CATNIP,Grace,6hpWk3kV9phxtzxbzzXmIF,49,"['k-indie', 'korean city pop', 'korean dream pop', 'korean electropop', 'korean indie rock']",0.622,0.701,1,-6.273,0,0.0312,2.8100000000000002e-05,0.0965,0.638,100.007,245280,4,1
The Jesus and Mary Chain,Psychocandy (Expanded Version),Just Like Honey,1LwP9g1Hjbs64jXM2Qsxry,65,"['alternative rock', 'art rock', 'dance rock', 'new wave', 'noise pop', 'nu gaze', 'post-punk', 'punk', 'rock', 'scottish indie', 'shoegaze', 'uk post-punk']",0.341,0.552,8,-10.503,1,0.0423,0.616,0.0591,0.486,121.361,182493,4,1
The Neighbourhood,Chip Chrome & The Mono-Tones,Cherry Flavoured,40iocOzytrqaRn5RbGPDNp,72,"['modern alternative rock', 'modern rock', 'pop']",0.617,0.574,6,-9.767999999999999,1,0.0276,0.0105,0.0983,0.396,91.76899999999999,208453,4,1
Ankur Tewari,"Dil Beparvah (The Dewarists, Season 5)","Dil Beparvah - The Dewarists, Season 5",4kXkT9HF9ZfDjuv3LIKcwJ,59,"['indian indie', 'indian rock', 'indian singer-songwriter', 'modern bollywood', 'pakistani pop', 'sufi']",0.762,0.391,1,-11.735,1,0.0337,0.000521,0.11199999999999999,0.355,137.95600000000002,250000,3,0
Jesse Davidson,Lizard Boy,Will You Find Me,6VawWNiQidAnpI6kmLOULc,34,['adelaide indie'],0.491,0.215,9,-11.198,1,0.0271,0.0283,0.115,0.39,80.28699999999999,211119,4,0
Troye Sivan,Bloom,Dance To This (feat. Ariana Grande),2NjO87HyT80fsgejd3PLYW,73,"['australian pop', 'dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'viral pop']",0.736,0.7559999999999999,11,-7.099,1,0.047,0.00577,0.106,0.7120000000000001,117.016,231847,4,0
Various Artists,The Flash â€“ Music from the Special Episode: Duet,Moon River,6WZRJoYxnqshV9kXJPJxIu,0,[],0.29,0.154,10,-11.548,1,0.033,0.0,0.11800000000000001,0.185,65.92399999999999,134787,3,0
Elliott Smith,Either/Or: Expanded Edition,Pictures of Me - Live,2wMFRRLOnHwPJIszMVkUhi,0,"['alternative rock', 'anti-folk', 'indie folk', 'indie pop', 'indie rock', 'melancholia', 'singer-songwriter']",0.47100000000000003,0.299,3,-10.007,0,0.0635,0.0,0.127,0.285,139.664,238211,4,0
PHOX,PHOX,Slow Motion,0gqysuo5JAFi4J1chidYzK,38,"['chamber pop', 'wisconsin indie']",0.5479999999999999,0.503,7,-9.329,1,0.0306,0.000743,0.0733,0.48200000000000004,133.76,294498,4,0
Better Oblivion Community Center,Better Oblivion Community Center,Service Road,0AODUbeAlQFw4jsyoWtB6U,48,"['indie pop', 'indie rock']",0.54,0.5479999999999999,0,-10.302999999999999,1,0.0405,3.84e-05,0.135,0.525,83.876,224333,4,0
Beta Radio,Colony of Bees,Monument,79DVsKNOFWqtEIGSxbLjnV,24,"['acoustic pop', 'indie anthem-folk', 'indie folk', 'indiecoustica', 'new americana', 'stomp and flutter', 'stomp and holler']",0.243,0.36,3,-10.682,1,0.0363,0.0232,0.125,0.113,96.00399999999999,318093,4,0
Prateek Kuhad,Tum Jab Paas - Single,Tum Jab Paas,3FTRSa9mWB3kKx2jkhUAN3,62,"['desi hip hop', 'desi pop', 'folk-pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",0.7509999999999999,0.344,6,-7.712000000000001,1,0.0379,1.62e-06,0.113,0.47100000000000003,122.1,235932,3,0
Big Thief,Dandelion,Masterpiece - (solo),5cic8eTn6twPA0ArO8zcjR,51,"['art pop', 'brooklyn indie', 'chamber pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'small room', 'stomp and holler']",0.555,0.183,4,-8.58,1,0.0375,0.0,0.11599999999999999,0.223,131.22,240955,4,0
The Chieftains,Voice of Ages,Down In The Willow Garden,1lryIQgUxmnNNh37oLCN6G,41,"['celtic', 'irish folk']",0.264,0.155,9,-15.25,1,0.0329,0.13,0.107,0.18100000000000002,98.414,256067,3,0
Christian Leave,Hope,Please Notice,36seMHoyXmLUNxcwzwjdF7,73,"['indie cafe pop', 'indie pop', 'pop']",0.55,0.271,2,-8.451,1,0.0297,3.21e-06,0.107,0.198,111.344,116667,4,0
The Band CAMINO,I Spend Too Much Time in My Room,I Spend Too Much Time in My Room,6XHikJpK06NoXaFwkH4tPL,50,"['electropop', 'hopebeat', 'indie cafe pop', 'indie pop', 'indie poptimism', 'modern alternative rock', 'modern rock', 'pop', 'pop rock']",0.48,0.439,9,-7.221,1,0.025,0.00385,0.514,0.152,97.055,272378,4,0
John Mayer,I Guess I Just Feel Like,I Guess I Just Feel Like,1HNywa8Bk0TmzRwQrzhtPo,74,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",0.556,0.528,4,-8.033,1,0.0266,0.0964,0.122,0.163,159.821,285480,4,0
The Paper Kites,twelvefour: outtakes,Holes,4fpAxDV1fhSHMotzyKkFhz,40,"['australian indie folk', 'indie folk', 'stomp and holler']",0.526,0.318,1,-13.514000000000001,1,0.027999999999999997,0.34700000000000003,0.10300000000000001,0.162,79.98100000000001,268933,3,0
Joywave,How Do You Feel Now?,Nice House,0GAvMukpDYssdZgMLsSuhx,44,"['indie pop', 'indie poptimism', 'indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'rochester ny indie', 'rock', 'shimmer pop']",0.5489999999999999,0.754,5,-6.818,1,0.0489,0.0692,0.124,0.0475,134.988,340040,4,0
Iron & Wine,Call It Dreaming,Call It Dreaming,0iWUW8UNkmyUa8Aa6anow6,27,"['acoustic pop', 'indie folk', 'indie pop', 'neo mellow', 'stomp and holler']",0.509,0.515,5,-9.442,1,0.0316,5.7600000000000004e-05,0.0966,0.7170000000000001,80.089,231760,4,0
Vansire,Angel Youth,Nice to See You,7nEZZ1mWK7h98x8ENbQuqJ,58,"['bedroom pop', 'indie garage rock', 'indie pop', 'rochester mn indie']",0.539,0.535,1,-9.717,1,0.0319,0.632,0.263,0.35200000000000004,78.885,181678,4,0
John Mayer,Room For Squares,Not Myself,24QhGejjYWG2CfbHRGLmEr,47,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",0.539,0.49,1,-7.257999999999999,1,0.0234,0.0166,0.102,0.226,89.991,216573,4,0
Brolly,Hollow Home Rd,Hollow Home Rd,50e8CZRLfPWaP3qaXB8ttR,32,['sacramento indie'],0.369,0.273,0,-5.71,1,0.0317,2.3100000000000002e-05,0.10300000000000001,0.174,146.65200000000002,263752,3,0
Red Hot Chili Peppers,By the Way (Deluxe Edition),Can't Stop,3ZOEytgrvLwQaqXreDs2Jx,82,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",0.618,0.938,9,-3.4419999999999997,1,0.0456,0.0,0.16699999999999998,0.875,91.455,269000,4,0
The Kooks,Junk Of The Heart,Junk Of The Heart (Happy),5p50gxcAYYeWPrBVEPHgUt,28,"['brighton indie', 'modern rock', 'rock']",0.604,0.894,2,-5.0,1,0.037000000000000005,0.0,0.0299,0.9009999999999999,145.017,187253,4,0
John Mayer,Born and Raised,The Age of Worry,1RywwImkBFUEVcRTBmw7vL,56,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",0.508,0.36200000000000004,7,-9.24,1,0.0251,4.48e-05,0.146,0.294,67.339,157587,4,0
The Paper Kites,Woodland - EP,Bloom - Bonus Track,41yIvlFgvGwxq8qTqAR7eG,76,"['australian indie folk', 'indie folk', 'stomp and holler']",0.5920000000000001,0.41600000000000004,1,-9.794,1,0.0246,0.000586,0.11199999999999999,0.41700000000000004,96.00200000000001,210080,4,0
Valley,This Room Is White,Slacks,2SYWArhFYrwDYm0gM1aonU,40,"['electropop', 'indie cafe pop', 'indie electropop', 'indie pop', 'indie poptimism', 'indiecoustica', 'indietronica']",0.573,0.47200000000000003,11,-12.427,1,0.0289,0.135,0.0937,0.0741,104.001,318960,4,0
